mediaId,decision
daiwa-tatula-xt,ADOPT
daiwa-exceler-lt,ADOPT
shimano-zodias,ADOPT
shimano-slx-dc-xt-71hg,ADOPT
pflueger-president-spincast,ADOPT
powerpro-super8-slick-v2,ADOPT
seaguar-invizx,ADOPT
eagle-claw-egg-sinkers,ADOPT
eagle-claw-trolling-sinker,ADOPT
top-brass-glass-beads,ADOPT
vmc-crankbait-snaps,ADOPT
gamakatsu-octopus-hook,ADOPT
vmc-redline-weedless-wacky-neko,ADOPT
vmc-crossover-rings,ADOPT
zman-finesse-shroomz,ADOPT
gamakatsu-g-finesse-drop-shot,ADOPT
owner-twistlock,ADOPT
gamakatsu-ewg-worm-hook,ADOPT
zman-original-chatterbait,ADOPT
zman-elite-evo,ADOPT
strike-king-red-eyed-special,ADOPT
sixth-sense-divine-spinnerbait,ADOPT
rebel-crawfish,ADOPT
berkley-flicker-shad-5,ADOPT
strike-king-kvd-square-bill-1,ADOPT
berkley-money-badger,ADOPT
berkley-stunna,ADOPT
rapala-dt06,ADOPT
rapala-ripstop,ADOPT
rapala-husky-jerk,ADOPT
mepps-aglia-3,ADOPT
macks-wedding-ring,ADOPT
kastmaster,ADOPT
dick-nite-spoon,ADOPT
luhr-jensen-dodger,ADOPT
macks-pee-wee-hoochie,REPLACE
rebel-pop-r,ADOPT
river2sea-whopper-plopper-60,REPLACE
strike-king-premier-pro-model-jig,ADOPT
strike-king-tour-grade-football-jig,ADOPT
yum-christie-craw,ADOPT
strike-king-rage-craw,ADOPT
sixth-sense-divine-swimbait,ADOPT
berkley-power-jerk-shad,ADOPT
fin-sanity-bluegill,ADOPT
yamamoto-senko,ADOPT
zman-ned-rig-kit,ADOPT
berkley-gulp-minnow,ADOPT
berkley-powerbait-trout-dough,ADOPT
berkley-powerbait-trout-nuggets,ADOPT
berkley-magnum-power-eggs,ADOPT
